,FILIAL,CODSUPERVISOR,Codigo,Data Início,Data Final
1336,1,110,4002,2023-10-17,2023-10-19
6127,1,111,4027,2023-10-17,2023-10-19
133,1,110,4031,2023-10-17,2023-10-19
26522,1,117,4043,2023-10-17,2023-10-19
11380,1,111,4065,2023-10-17,2023-10-19
16659,1,113,4072,2023-10-17,2023-10-19
6133,1,111,4073,2023-10-17,2023-10-19
7085,1,111,4076,2023-10-17,2023-10-19
9451,1,111,4077,2023-10-17,2023-10-19
16670,1,113,4078,2023-10-17,2023-10-19
24155,1,114,4079,2023-10-17,2023-10-19
5298,1,111,4104,2023-10-17,2023-10-19
14948,1,113,4119,2023-10-17,2023-10-19
18800,1,114,4142,2023-10-17,2023-10-19
26531,1,117,4143,2023-10-17,2023-10-19
59956,1,104,4170,2023-10-17,2023-10-19
26546,1,117,4177,2023-10-17,2023-10-19
143,1,110,4205,2023-10-17,2023-10-19
2935,1,110,4207,2023-10-17,2023-10-19
26551,1,117,4214,2023-10-17,2023-10-19
7094,1,111,4218,2023-10-17,2023-10-19
9472,1,111,4235,2023-10-17,2023-10-19
167,1,110,4250,2023-10-17,2023-10-19
16685,1,113,4258,2023-10-17,2023-10-19
4064,1,111,4260,2023-10-17,2023-10-19
22942,1,114,4263,2023-10-17,2023-10-19
26566,1,117,4272,2023-10-17,2023-10-19
14956,1,113,4278,2023-10-17,2023-10-19
4077,1,111,4282,2023-10-17,2023-10-19
19681,1,114,4289,2023-10-17,2023-10-19
22956,1,114,4301,2023-10-17,2023-10-19
17895,1,114,4307,2023-10-17,2023-10-19
13555,1,113,4313,2023-10-17,2023-10-19
26020,1,117,4315,2023-10-17,2023-10-19
17924,1,114,4317,2023-10-17,2023-10-19
53085,1,100,4328,2023-10-17,2023-10-19
53087,1,100,4330,2023-10-17,2023-10-19
53106,1,100,4332,2023-10-17,2023-10-19
26577,1,117,4334,2023-10-17,2023-10-19
26586,1,117,4335,2023-10-17,2023-10-19
12947,1,113,4338,2023-10-17,2023-10-19
52232,1,100,4342,2023-10-17,2023-10-19
15661,1,113,4346,2023-10-17,2023-10-19
53123,1,100,4359,2023-10-17,2023-10-19
22960,1,114,4364,2023-10-17,2023-10-19
10742,1,111,4369,2023-10-17,2023-10-19
52247,1,100,4374,2023-10-17,2023-10-19
52256,1,100,4377,2023-10-17,2023-10-19
1342,1,110,4380,2023-10-17,2023-10-19
52272,1,100,4407,2023-10-17,2023-10-19
8344,1,111,4427,2023-10-17,2023-10-19
1346,1,110,4437,2023-10-17,2023-10-19
8353,1,111,4440,2023-10-17,2023-10-19
10747,1,111,4444,2023-10-17,2023-10-19
19685,1,114,4458,2023-10-17,2023-10-19
8361,1,111,4463,2023-10-17,2023-10-19
1359,1,110,4464,2023-10-17,2023-10-19
26594,1,117,4475,2023-10-17,2023-10-19
26026,1,117,4484,2023-10-17,2023-10-19
1369,1,110,4485,2023-10-17,2023-10-19
12953,1,113,4488,2023-10-17,2023-10-19
6142,1,111,4489,2023-10-17,2023-10-19
13558,1,113,4493,2023-10-17,2023-10-19
10750,1,111,4505,2023-10-17,2023-10-19
1376,1,110,4506,2023-10-17,2023-10-19
8376,1,111,4532,2023-10-17,2023-10-19
78498,1,115,4541,2023-10-17,2023-10-19
81879,1,115,4543,2023-10-17,2023-10-19
69478,1,108,4546,2023-10-17,2023-10-19
81881,1,115,4550,2023-10-17,2023-10-19
78500,1,115,4553,2023-10-17,2023-10-19
81901,1,115,4554,2023-10-17,2023-10-19
81921,1,115,4555,2023-10-17,2023-10-19
81930,1,115,4556,2023-10-17,2023-10-19
69485,1,108,4562,2023-10-17,2023-10-19
78522,1,115,4570,2023-10-17,2023-10-19
81947,1,115,4581,2023-10-17,2023-10-19
78523,1,115,4583,2023-10-17,2023-10-19
80737,1,115,4587,2023-10-17,2023-10-19
69492,1,108,4588,2023-10-17,2023-10-19
8382,1,111,4609,2023-10-17,2023-10-19
